1788891578.392,0.187,0.669,24
1788891579.295,0.151,0.573,21
1788891579.531,0.143,0.377,13
1788891581.099,0.105,1.670,13
1788891581.293,0.169,1.894,20
1788891581.542,1.461,1.919,23
1788891582.607,0.135,0.872,35
1788891582.978,0.100,1.305,56
1788891583.845,0.106,0.175,6
1788891585.870,0.150,1.784,75
1788891586.204,0.110,0.403,16
1788891586.499,0.105,0.622,26
1788891586.938,0.103,0.284,11
1788891588.045,0.118,0.500,21
1788891588.786,0.109,0.631,26
1788891588.832,0.117,0.502,20
1788891590.100,0.113,0.368,14
1788891590.176,0.124,0.516,20
1788891591.399,0.103,2.402,104
1788891591.601,0.119,0.706,29
1788891591.882,0.142,0.433,16
1788891592.772,0.110,0.152,5
1788891593.337,0.102,0.571,23
1788891594.514,0.137,1.047,42
1788891596.237,0.108,0.596,24
1788891598.173,0.127,0.771,31
1788891601.228,0.119,0.844,33
1788891602.006,0.153,0.515,18
1788891603.625,0.132,0.505,19
1788891603.895,0.132,0.692,27
1788891604.039,0.125,2.450,103
1788891604.704,0.131,0.531,21
1788891605.351,0.135,0.377,14
1788891605.441,0.113,0.647,27
1788891606.443,0.187,0.484,16
1788891606.573,0.110,0.586,24
1788891607.300,0.129,0.512,19
1788891607.831,0.132,1.655,69
1788891608.093,0.123,0.619,25
1788891608.270,0.127,0.189,6
1788891608.593,0.135,0.358,13
1788891609.671,0.154,1.888,79
1788891611.067,0.151,0.423,15
1788891611.115,0.114,0.551,22
1788891611.249,0.107,0.817,34
1788891611.621,0.134,0.497,20
1788891612.726,0.106,0.511,21
1788891614.549,0.105,0.554,23
1788891614.966,0.123,0.666,28
1788891615.576,0.131,0.660,26
1788891616.250,0.117,0.790,32
1788891616.276,0.120,0.354,13
1788891616.689,0.116,0.318,12
1788891617.301,0.127,0.490,19
1788891618.322,0.133,0.988,40
1788891619.673,0.120,0.632,25
1788891620.787,0.145,0.190,5
1788891621.092,0.121,0.192,6
1788891621.320,0.177,0.403,13
1788891621.874,0.119,2.421,104
1788891622.475,0.110,0.636,26
1788891623.088,0.118,0.633,26
1788891624.313,0.117,0.348,13
1788891624.762,0.140,0.861,34
1788891625.545,0.127,0.578,22
1788891626.165,0.107,0.480,19
1788891626.385,0.122,1.031,42
1788891627.262,0.117,0.643,26
1788891627.992,0.127,0.990,41
1788891628.120,0.143,0.342,12
1788891629.325,0.112,0.360,14
1788891629.492,0.172,0.211,5
1788891630.760,0.108,0.878,37
1788891631.407,0.115,0.391,15
1788891631.567,0.137,0.388,14
1788891632.531,0.127,1.048,43
1788891633.340,0.116,0.538,22
1788891633.628,0.141,1.786,76
1788891633.686,0.108,2.302,100
1788891634.148,0.119,0.360,14
1788891634.700,0.126,1.157,50
1788891634.773,0.132,1.011,44
1788891635.868,0.119,0.603,26
1788891635.874,0.169,0.383,13
1788891636.174,0.116,0.319,12
1788891636.351,0.160,0.479,18
1788891637.409,0.130,0.583,24
1788891638.359,0.137,0.508,19
1788891638.890,0.154,0.616,23
1788891639.644,0.130,0.395,15
1788891640.343,0.137,0.195,6
1788891640.682,0.102,0.167,6
1788891641.035,0.112,0.401,16
1788891641.479,0.158,0.391,14
1788891642.179,0.110,0.344,13
1788891642.209,0.150,1.011,40
1788891642.500,0.146,0.645,24
1788891642.835,0.118,1.219,49
1788891643.536,0.128,0.179,5
1788891644.992,0.112,0.571,23
