Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/chat/completions,161,0,140,349.39313010604195,100.13856299337931,2446.6400450037327,375.167701863354,2.3582046135672297,0.0,140,330,450,580,710,1200,1600,2200,2400,2400,2400
,Aggregated,161,0,140,349.39313010604195,100.13856299337931,2446.6400450037327,375.167701863354,2.3582046135672297,0.0,140,330,450,580,710,1200,1600,2200,2400,2400,2400
